seed,n_cal,n_test,feature_cols,max_abs_mag_diff_cache_vs_Mk,auroc_M,auprc_M,auroc_R,auprc_R,delta_auroc_M_minus_R,delta_auprc_M_minus_R,scale_max_frobenius_rel_diff,scale_mean_response_mag_M,scale_mean_response_mag_R,scale_response_mag_ratio_M_over_R,scale_response_mag_std_M,scale_response_mag_std_R,task
42,1602,2000,32,5.744722229167332e-09,0.7346402395242031,0.5852147953274826,0.7329862851620537,0.5724277684461583,0.0016539543621494346,0.01278702688132427,1.5004034457491844e-16,0.010738952948825329,0.0019046812510933025,5.638189034003927,0.009111351248096068,0.0018014883129481192,dermamnist
123,1602,2000,32,4.294279376537702e-09,0.7312849136782591,0.5759403472665867,0.7448394365942765,0.5822966608744949,-0.013554522916017442,-0.006356313607908226,1.4215868938380669e-16,0.0069003249562956444,0.0019986323048725198,3.452523476189508,0.006707467162625902,0.0022342567620818616,dermamnist
456,1602,2000,32,5.668680209264254e-09,0.7371307673896649,0.5978504277676336,0.7034092910462927,0.5605869656782663,0.03372147634337219,0.03726346208936737,1.121566705891474e-16,0.008724328949322107,0.001956111249747666,4.46003720186543,0.008792282402361221,0.0023995812532239913,dermamnist
42,1602,2000,36,3.4263736535533607e-09,0.938041147165388,0.9827954685030987,0.9313858695652174,0.9812660150232341,0.006655277600170595,0.001529453479864662,1.253090002425158e-16,0.00740447556010473,0.0017277818150619449,4.285538539224482,0.006470944966968222,0.0020906002033070897,bloodmnist
123,1602,2000,36,1.377021973877901e-09,0.8523317946796347,0.9435560359425891,0.7941978618066621,0.9267711854450973,0.05813393287297264,0.016784850497491788,1.5572365564886413e-16,0.0023752782400393527,0.0014790304177651579,1.6059698366599329,0.0015354450465895465,0.0015570957911383541,bloodmnist
456,1602,2000,36,1.5525708661409676e-09,0.8685160027952481,0.9087808874701231,0.8285238294898672,0.8966866737931732,0.03999217330538085,0.01209421367694985,1.970704877805325e-16,0.003625866439804717,0.0016425176923358183,2.207505255204211,0.0020480000755051233,0.0016755587518029508,bloodmnist
42,1602,2000,48,1.4385566115063253e-09,0.8918550966485884,0.949029965686337,0.8975830899735782,0.9595015590979474,-0.005727993324989744,-0.010471593411610414,2.242834723741929e-16,0.0033723313163659717,0.0012479640447855549,2.7022664056344614,0.002095948037327801,0.0014410649019672697,organcmnist
123,1602,2000,48,9.266562625738495e-10,0.9089789409542908,0.9611483011423358,0.8854119399416012,0.9566022024456562,0.023567001012689603,0.004546098696679657,1.969547129936482e-16,0.002532559237334361,0.0011298875665892174,2.2414258816370127,0.0014209222972902788,0.0014141825853023421,organcmnist
456,1602,2000,48,1.3795074561839815e-09,0.8344476405698904,0.9138743074051991,0.7950234115104751,0.9012827817436169,0.03942422905941534,0.012591525661582281,2.6002958336006214e-16,0.0026770620949876423,0.0010812367154447488,2.475925996843856,0.001478289901781251,0.00121910193939954,organcmnist
