seed,model,test_auroc,test_auprc
42,entropy_H,0.6733287722578227,0.4754949078376281
42,h_T_probe,0.745269577626344,0.5954661985400455
42,h_proj32_probe,0.732881290106982,0.582295122239902
42,z_combined,0.7345792746535164,0.5848186095529846
42,h512_plus_z,0.7434112780494855,0.5925787425587729
42,h32_plus_z,0.7584244419456374,0.6091034098979984
123,entropy_H,0.6722968853724953,0.49746887240718096
123,h_T_probe,0.7289434110522538,0.5927497993118983
123,h_proj32_probe,0.7233662543635042,0.5423858600415465
123,z_combined,0.73126346307561,0.5760204360263695
123,h512_plus_z,0.7287842250010161,0.5923438403046701
123,h32_plus_z,0.7597430895190097,0.5935676648621043
456,entropy_H,0.5865385049607341,0.40501258127946593
456,h_T_probe,0.7300904538044338,0.5887987074686777
456,h_proj32_probe,0.702682228514399,0.561197136662924
456,z_combined,0.7369444858403443,0.5976810528949017
456,h512_plus_z,0.7303252814544864,0.5892941103297538
456,h32_plus_z,0.7493282574433591,0.6165080068685355
