seed,model,auroc,auprc
42,entropy_H,0.6506735489231796,0.49605275216182354
42,z_combined,0.764773820329752,0.6271536807729613
123,entropy_H,0.6854156223610114,0.5202684537980244
123,z_combined,0.7500767705779019,0.6097990963841337
456,entropy_H,0.6573085590162528,0.4743616487320643
456,z_combined,0.7444025216876882,0.581458252452844
